community,Sani_Q,II_Q,Assessment,max_month,max_MGD,FY,CY20_meth,actual
Arlington,2.5,2.638333333333333,5.138333333333334,Apr,7.065555555555555,FY22,3yr ave (2017-19),FALSE
Ashland,0.8,0.5219444444444444,1.3219444444444444,Apr,1.6188888888888888,FY22,3yr ave (2017-19),FALSE
Bedford,1.3,1.3257407407407407,2.6257407407407407,Apr,3.5577777777777775,FY22,3yr ave (2017-19),FALSE
Belmont,1.4,1.8566666666666667,3.256666666666667,Apr,4.645555555555556,FY22,3yr ave (2017-19),FALSE
Boston,58.5,38.02537037037037,96.52537037037037,Apr,115.15666666666667,FY22,3yr ave (2017-19),FALSE
Braintree,3.2,4.832037037037037,8.032037037037037,Mar,11.125555555555556,FY22,3yr ave (2017-19),FALSE
Brookline,4.2,4.7575,8.9575,Apr,12.608888888888888,FY22,3yr ave (2017-19),FALSE
Burlington,2,1.8480555555555556,3.8480555555555553,Apr,5.1066666666666665,FY22,3yr ave (2017-19),FALSE
Cambridge,11.5,7.423981481481482,18.92398148148148,Nov,21.261111111111113,FY22,3yr ave (2017-19),FALSE
Canton,1.4,1.8389814814814816,3.2389814814814812,Mar,4.27,FY22,3yr ave (2017-19),FALSE
Chelsea,3,2.8402777777777777,5.840277777777778,Nov,6.982222222222223,FY22,3yr ave (2017-19),FALSE
Dedham,1.8,2.3089814814814815,4.108981481481481,Mar,5.774444444444445,FY22,3yr ave (2017-19),FALSE
Everett,3.2,2.997777777777778,6.1977777777777785,Mar,7.050000000000001,FY22,3yr ave (2017-19),FALSE
Framingham,4.791666666666666,2.604722222222222,7.396388888888889,Apr,9.475555555555555,FY22,3yr ave (2017-19),FALSE
Hingham,0.5,0.9961111111111112,1.4961111111111112,Mar,2.171111111111111,FY22,3yr ave (2017-19),FALSE
Holbrook,0.5,0.4576851851851852,0.9576851851851852,Mar,1.2433333333333334,FY22,3yr ave (2017-19),FALSE
Lexington,2.2,3.2600925925925925,5.460092592592593,Apr,8.074444444444445,FY22,3yr ave (2017-19),FALSE
Malden,4.9,4.220648148148148,9.120648148148147,Mar,11.338888888888889,FY22,3yr ave (2017-19),FALSE
Medford,4.2,3.7042592592592594,7.904259259259259,Nov,10.131111111111112,FY22,3yr ave (2017-19),FALSE
Melrose,1.8,2.7869444444444444,4.586944444444445,Nov,6.225555555555556,FY22,3yr ave (2017-19),FALSE
Milton,1.4,2.2585185185185184,3.6585185185185187,Mar,5.335555555555556,FY22,3yr ave (2017-19),FALSE
Natick,1.8,1.2732407407407407,3.073240740740741,Apr,4.021111111111111,FY22,3yr ave (2017-19),FALSE
Needham,1.9,2.1728703703703705,4.072870370370371,Apr,5.484444444444445,FY22,3yr ave (2017-19),FALSE
Newton,7.8,7.753055555555555,15.553055555555556,Apr,22.166666666666668,FY22,3yr ave (2017-19),FALSE
Norwood,2.4,4.12074074074074,6.520740740740741,Mar,8.956666666666667,FY22,3yr ave (2017-19),FALSE
Quincy,8.2,6.058796296296297,14.258796296296296,Mar,18.293333333333333,FY22,3yr ave (2017-19),FALSE
Randolph,1.9,2.06212962962963,3.96212962962963,Mar,5.723333333333334,FY22,3yr ave (2017-19),FALSE
Reading,1.3,1.9591666666666667,3.2591666666666668,Apr,4.765555555555555,FY22,3yr ave (2017-19),FALSE
Revere,3.5,3.3186111111111116,6.818611111111111,Nov,8.391111111111112,FY22,3yr ave (2017-19),FALSE
Somerville,5.5,5.0125,10.512500000000001,Apr,13.25,FY22,3yr ave (2017-19),FALSE
Stoneham,1.4,2.0426851851851855,3.4426851851851854,Nov,4.774444444444445,FY22,3yr ave (2017-19),FALSE
Stoughton,1.4,1.968425925925926,3.368425925925926,Mar,4.756666666666667,FY22,3yr ave (2017-19),FALSE
Wakefield,1.5,3.184444444444445,4.684444444444445,Apr,6.58,FY22,3yr ave (2017-19),FALSE
Walpole,1.2,1.1160185185185185,2.3160185185185185,Apr,2.891111111111111,FY22,3yr ave (2017-19),FALSE
Waltham,5.6,4.007222222222223,9.607222222222223,Apr,12.38,FY22,3yr ave (2017-19),FALSE
Watertown,2.2,1.5135185185185183,3.7135185185185184,Apr,4.82,FY22,3yr ave (2017-19),FALSE
Wellesley,1.7,1.9406481481481481,3.640648148148148,Apr,5.203333333333333,FY22,3yr ave (2017-19),FALSE
Westwood,0.9,1.0026851851851852,1.9026851851851851,Mar,2.511111111111111,FY22,3yr ave (2017-19),FALSE
Weymouth,3.7,5.764351851851852,9.464351851851852,Mar,12.806666666666667,FY22,3yr ave (2017-19),FALSE
Wilmington,0.8,0.7501851851851851,1.5501851851851851,Apr,1.8599999999999999,FY22,3yr ave (2017-19),FALSE
Winchester,1.1,1.4516666666666667,2.5516666666666667,Apr,3.7044444444444444,FY22,3yr ave (2017-19),FALSE
Winthrop,1.1,1.252685185185185,2.352685185185185,Nov,2.91,FY22,3yr ave (2017-19),FALSE
Woburn,3.7,2.9770370370370367,6.677037037037037,Apr,8.276666666666667,FY22,3yr ave (2017-19),FALSE
Arlington,2.5,2.6368750000000003,5.136875,Apr,6.9158333333333335,FY22,3yr ave (2017-19),FALSE
Ashland,0.8,0.5135590277777777,1.3135590277777778,Apr,1.6033333333333333,FY22,3yr ave (2017-19),FALSE
Bedford,1.3,1.3171527777777778,2.6171527777777777,Apr,3.493125,FY22,3yr ave (2017-19),FALSE
Belmont,1.4,1.8595833333333334,3.2595833333333335,Apr,4.541041666666667,FY22,3yr ave (2017-19),FALSE
Boston,58.5,38.30484375,96.80484375,Apr,115.315625,FY22,3yr ave (2017-19),FALSE
Braintree,3.2,4.884496527777777,8.084496527777778,Mar,11.156666666666668,FY22,3yr ave (2017-19),FALSE
Brookline,4.2,4.759444444444444,8.959444444444445,Apr,12.536458333333332,FY22,3yr ave (2017-19),FALSE
Burlington,2,1.8513368055555557,3.8513368055555555,Apr,5.029375,FY22,3yr ave (2017-19),FALSE
Cambridge,11.5,7.451649305555556,18.951649305555556,Nov,20.968958333333333,FY22,3yr ave (2017-19),FALSE
Canton,1.4,1.81609375,3.21609375,Mar,4.229166666666667,FY22,3yr ave (2017-19),FALSE
Chelsea,3,2.8605729166666665,5.8605729166666665,Nov,6.925833333333334,FY22,3yr ave (2017-19),FALSE
Dedham,1.8,2.284756944444444,4.084756944444444,Mar,5.677708333333333,FY22,3yr ave (2017-19),FALSE
Everett,3.2,3.0297395833333334,6.229739583333334,Mar,7.063125,FY22,3yr ave (2017-19),FALSE
Framingham,4.791666666666666,2.5180729166666667,7.309739583333333,Apr,9.368125,FY22,3yr ave (2017-19),FALSE
Hingham,0.5,1.0008506944444444,1.5008506944444444,Mar,2.163333333333333,FY22,3yr ave (2017-19),FALSE
Holbrook,0.5,0.4529861111111111,0.9529861111111111,Mar,1.22875,FY22,3yr ave (2017-19),FALSE
Lexington,2.2,3.2396354166666668,5.4396354166666665,Apr,7.954375000000001,FY22,3yr ave (2017-19),FALSE
Malden,4.9,4.178559027777777,9.078559027777777,Mar,11.234374999999998,FY22,3yr ave (2017-19),FALSE
Medford,4.2,3.6498958333333333,7.849895833333333,Nov,9.850625,FY22,3yr ave (2017-19),FALSE
Melrose,1.8,2.768229166666667,4.568229166666667,Dec,6.439166666666667,FY22,3yr ave (2017-19),FALSE
Milton,1.4,2.2422743055555556,3.6422743055555555,Mar,5.29375,FY22,3yr ave (2017-19),FALSE
Natick,1.8,1.283125,3.083125,Apr,4.0075,FY22,3yr ave (2017-19),FALSE
Needham,1.9,2.1645659722222224,4.064565972222222,Apr,5.364375,FY22,3yr ave (2017-19),FALSE
Newton,7.8,7.722916666666666,15.522916666666667,Apr,21.783125000000002,FY22,3yr ave (2017-19),FALSE
Norwood,2.4,4.068038194444444,6.4680381944444445,Mar,8.81375,FY22,3yr ave (2017-19),FALSE
Quincy,8.2,6.033802083333335,14.233802083333334,Mar,18.134375000000002,FY22,3yr ave (2017-19),FALSE
Randolph,1.9,2.018298611111111,3.918298611111111,Mar,5.597916666666666,FY22,3yr ave (2017-19),FALSE
Reading,1.3,1.927326388888889,3.227326388888889,Apr,4.675625,FY22,3yr ave (2017-19),FALSE
Revere,3.5,3.3465625000000006,6.846562500000001,Nov,8.249166666666667,FY22,3yr ave (2017-19),FALSE
Somerville,5.5,4.8727430555555555,10.372743055555556,Apr,12.808124999999999,FY22,3yr ave (2017-19),FALSE
Stoneham,1.4,2.06375,3.46375,Dec,4.942291666666668,FY22,3yr ave (2017-19),FALSE
Stoughton,1.4,1.9376388888888891,3.337638888888889,Mar,4.670625,FY22,3yr ave (2017-19),FALSE
Wakefield,1.5,3.1825,4.6825,Apr,6.43125,FY22,3yr ave (2017-19),FALSE
Walpole,1.2,1.1197048611111111,2.319704861111111,Mar,2.8739583333333334,FY22,3yr ave (2017-19),FALSE
Waltham,5.6,4.007829861111111,9.607829861111112,Apr,12.334791666666666,FY22,3yr ave (2017-19),FALSE
Watertown,2.2,1.4990972222222219,3.699097222222222,Apr,4.7368749999999995,FY22,3yr ave (2017-19),FALSE
Wellesley,1.7,1.945954861111111,3.645954861111111,Apr,5.124583333333334,FY22,3yr ave (2017-19),FALSE
