community,Sani_Q,II_Q,Assessment,max_month,max_MGD,FY,actual
Arlington,2.466666666666667,2.2225,4.689166666666667,Apr,7.336666666666667,FY20,TRUE
Ashland,0.8,0.49999999999999994,1.3,Apr,1.6166666666666667,FY20,TRUE
Bedford,1.3,1.2169444444444444,2.5169444444444444,Apr,3.6933333333333334,FY20,TRUE
Belmont,1.3666666666666667,1.476388888888889,2.8430555555555554,Apr,4.763333333333334,FY20,TRUE
Boston,58.5,31.050555555555555,89.55055555555556,Apr,110.18333333333334,FY20,TRUE
Braintree,3.2,3.7983333333333333,6.998333333333333,Apr,10.153333333333334,FY20,TRUE
Brookline,4.2,3.8613888888888885,8.061388888888889,Apr,12.183333333333334,FY20,TRUE
Burlington,2,1.4883333333333335,3.4883333333333333,Apr,5.03,FY20,TRUE
Cambridge,11.5,6.339166666666666,17.839166666666667,Apr,20.883333333333333,FY20,TRUE
Canton,1.4,1.6219444444444444,3.0219444444444443,Apr,4.033333333333333,FY20,TRUE
Chelsea,3,2.3355555555555556,5.335555555555556,Apr,6.550000000000001,FY20,TRUE
Dedham,1.7944444444444445,1.9077777777777778,3.7022222222222223,Apr,5.743333333333333,FY20,TRUE
Everett,3.2,2.2444444444444445,5.444444444444445,Apr,6.630000000000001,FY20,TRUE
Framingham,4.8,2.512777777777778,7.312777777777778,Apr,9.6466666666666665,FY20,TRUE
Hingham,0.5,0.83,1.33,Apr,1.9166666666666667,FY20,TRUE
Holbrook,0.5,0.40444444444444444,0.9044444444444445,Apr,1.1566666666666667,FY20,TRUE
Lexington,2.166666666666667,2.7327777777777778,4.899444444444445,Apr,7.856666666666667,FY20,TRUE
Malden,4.9,3.821666666666666,8.721666666666666,Apr,11.386666666666667,FY20,TRUE
Medford,4.122222222222223,3.270833333333333,7.393055555555556,Apr,11.056666666666667,FY20,TRUE
Melrose,1.8,2.4605555555555556,4.260555555555555,Apr,6.676666666666667,FY20,TRUE
Milton,1.3499999999999999,1.8830555555555557,3.2330555555555556,Apr,5.206666666666666,FY20,TRUE
Natick,1.8,1.0563888888888888,2.8563888888888886,Apr,3.98,FY20,TRUE
Needham,1.8666666666666667,1.8022222222222222,3.6688888888888886,Apr,5.703333333333333,FY20,TRUE
Newton,7.8,7.0058333333333325,14.805833333333332,Apr,23.813333333333333,FY20,TRUE
Norwood,2.4,3.512777777777778,5.9127777777777775,Apr,8.566666666666666,FY20,TRUE
Quincy,8.2,5.084444444444445,13.284444444444444,Apr,17.426666666666666,FY20,TRUE
Randolph,1.8305555555555555,1.8433333333333335,3.673888888888889,Mar,5.21,FY20,TRUE
Reading,1.3,1.7066666666666668,3.006666666666667,Apr,4.653333333333333,FY20,TRUE
Revere,3.5,2.793888888888889,6.2938888888888895,Apr,7.95,FY20,TRUE
Somerville,5.5,4.970000000000001,10.47,Apr,14.75,FY20,TRUE
Stoneham,1.3666666666666667,1.5291666666666666,2.8958333333333335,Apr,4.316666666666666,FY20,TRUE
Stoughton,1.4,1.6819444444444445,3.0819444444444444,Apr,4.586666666666667,FY20,TRUE
Wakefield,1.5,2.714166666666667,4.214166666666667,Apr,6.8,FY20,TRUE
Walpole,1.2,0.898888888888889,2.098888888888889,Apr,2.79,FY20,TRUE
Waltham,5.533333333333333,3.2886111111111114,8.821944444444444,Apr,11.956666666666667,FY20,TRUE
Watertown,2.166666666666667,1.2847222222222219,3.451388888888889,Apr,4.933333333333334,FY20,TRUE
Wellesley,1.7,1.5569444444444445,3.2569444444444446,Apr,5.15,FY20,TRUE
Westwood,0.9,0.8911111111111111,1.791111111111111,Apr,2.54,FY20,TRUE
Weymouth,3.7,4.792222222222222,8.492222222222223,Apr,11.82,FY20,TRUE
Wilmington,0.8,0.6277777777777778,1.4277777777777778,Apr,1.7999999999999998,FY20,TRUE
Winchester,1.0944444444444446,1.2080555555555554,2.3025,Apr,3.7533333333333334,FY20,TRUE
Winthrop,1.1,1.0399999999999998,2.14,Apr,2.606666666666667,FY20,TRUE
