community,month,monthlyav,year,Sani_Q,II_Q,FY,CY20_meth,actual
Arlington,Apr,7.065555555555555,18-20,2.5,4.565555555555555,FY22,3yr ave (2019x2),FALSE
Arlington,Aug,3.258888888888889,18-20,2.5,0.758888888888889,FY22,3yr ave (2019x2),FALSE
Arlington,Dec,6.46,18-20,2.5,3.96,FY22,3yr ave (2019x2),FALSE
Arlington,Feb,5.878888888888889,18-20,2.5,3.3788888888888886,FY22,3yr ave (2019x2),FALSE
Arlington,Jan,5.356666666666667,18-20,2.5,2.8566666666666674,FY22,3yr ave (2019x2),FALSE
Arlington,Jul,3.5444444444444443,18-20,2.5,1.0444444444444443,FY22,3yr ave (2019x2),FALSE
Arlington,Jun,3.98,18-20,2.5,1.48,FY22,3yr ave (2019x2),FALSE
Arlington,Mar,6.817777777777778,18-20,2.5,4.317777777777778,FY22,3yr ave (2019x2),FALSE
Arlington,May,5.432222222222222,18-20,2.5,2.9322222222222223,FY22,3yr ave (2019x2),FALSE
Arlington,Nov,6.594444444444444,18-20,2.5,4.094444444444444,FY22,3yr ave (2019x2),FALSE
Arlington,Oct,3.9200000000000004,18-20,2.5,1.4200000000000004,FY22,3yr ave (2019x2),FALSE
Arlington,Sep,3.3511111111111114,18-20,2.5,0.8511111111111114,FY22,3yr ave (2019x2),FALSE
Ashland,Apr,1.6188888888888888,18-20,0.8,0.8188888888888888,FY22,3yr ave (2019x2),FALSE
Ashland,Aug,1.0566666666666666,18-20,0.8,0.2566666666666666,FY22,3yr ave (2019x2),FALSE
Ashland,Dec,1.43,18-20,0.8,0.6299999999999999,FY22,3yr ave (2019x2),FALSE
Ashland,Feb,1.4977777777777779,18-20,0.8,0.6977777777777778,FY22,3yr ave (2019x2),FALSE
Ashland,Jan,1.4644444444444444,18-20,0.8,0.6644444444444444,FY22,3yr ave (2019x2),FALSE
Ashland,Jul,1.0544444444444445,18-20,0.8,0.2544444444444445,FY22,3yr ave (2019x2),FALSE
Ashland,Jun,1.1333333333333333,18-20,0.8,0.33333333333333326,FY22,3yr ave (2019x2),FALSE
Ashland,Mar,1.5855555555555556,18-20,0.8,0.7855555555555556,FY22,3yr ave (2019x2),FALSE
Ashland,May,1.3666666666666667,18-20,0.8,0.5666666666666667,FY22,3yr ave (2019x2),FALSE
Ashland,Nov,1.4733333333333334,18-20,0.8,0.6733333333333333,FY22,3yr ave (2019x2),FALSE
Ashland,Oct,1.1211111111111112,18-20,0.8,0.3211111111111111,FY22,3yr ave (2019x2),FALSE
Ashland,Sep,1.0611111111111111,18-20,0.8,0.26111111111111107,FY22,3yr ave (2019x2),FALSE
Bedford,Apr,3.5577777777777775,18-20,1.3,2.257777777777777,FY22,3yr ave (2019x2),FALSE
Bedford,Aug,1.932222222222222,18-20,1.3,0.632222222222222,FY22,3yr ave (2019x2),FALSE
Bedford,Dec,2.9477777777777776,18-20,1.3,1.6477777777777776,FY22,3yr ave (2019x2),FALSE
Bedford,Feb,2.9555555555555557,18-20,1.3,1.6555555555555557,FY22,3yr ave (2019x2),FALSE
Bedford,Jan,2.758888888888889,18-20,1.3,1.458888888888889,FY22,3yr ave (2019x2),FALSE
Bedford,Jul,2.1211111111111114,18-20,1.3,0.8211111111111113,FY22,3yr ave (2019x2),FALSE
Bedford,Jun,2.3355555555555556,18-20,1.3,1.0355555555555556,FY22,3yr ave (2019x2),FALSE
Bedford,Mar,3.3244444444444445,18-20,1.3,2.0244444444444447,FY22,3yr ave (2019x2),FALSE
Bedford,May,2.92,18-20,1.3,1.6199999999999999,FY22,3yr ave (2019x2),FALSE
Bedford,Nov,2.87,18-20,1.3,1.57,FY22,3yr ave (2019x2),FALSE
Bedford,Oct,1.9188888888888889,18-20,1.3,0.6188888888888888,FY22,3yr ave (2019x2),FALSE
Bedford,Sep,1.8666666666666667,18-20,1.3,0.5666666666666667,FY22,3yr ave (2019x2),FALSE
Belmont,Apr,4.645555555555556,18-20,1.4,3.245555555555556,FY22,3yr ave (2019x2),FALSE
Belmont,Aug,2.1266666666666665,18-20,1.4,0.7266666666666666,FY22,3yr ave (2019x2),FALSE
Belmont,Dec,3.94,18-20,1.4,2.54,FY22,3yr ave (2019x2),FALSE
Belmont,Feb,3.7333333333333334,18-20,1.4,2.3333333333333335,FY22,3yr ave (2019x2),FALSE
Belmont,Jan,3.3755555555555556,18-20,1.4,1.9755555555555557,FY22,3yr ave (2019x2),FALSE
Belmont,Jul,2.2688888888888887,18-20,1.4,0.8688888888888888,FY22,3yr ave (2019x2),FALSE
Belmont,Jun,2.4077777777777776,18-20,1.4,1.0077777777777777,FY22,3yr ave (2019x2),FALSE
Belmont,Mar,4.506666666666667,18-20,1.4,3.106666666666667,FY22,3yr ave (2019x2),FALSE
Belmont,May,3.2777777777777777,18-20,1.4,1.8777777777777778,FY22,3yr ave (2019x2),FALSE
Belmont,Nov,4.276666666666666,18-20,1.4,2.8766666666666665,FY22,3yr ave (2019x2),FALSE
Belmont,Oct,2.4922222222222223,18-20,1.4,1.0922222222222224,FY22,3yr ave (2019x2),FALSE
Belmont,Sep,2.028888888888889,18-20,1.4,0.628888888888889,FY22,3yr ave (2019x2),FALSE
Boston,Apr,115.15666666666667,18-20,58.5,56.656666666666666,FY22,3yr ave (2019x2),FALSE
