community,meas,month,Q_MGD,year
Framingham,Average Daily Flow,Jan,8.39,2016
Framingham,Average Daily Flow,Feb,8.76,2016
Framingham,Average Daily Flow,Mar,8.76,2016
Framingham,Average Daily Flow,Apr,8.69,2016
Framingham,Average Daily Flow,May,6.99,2016
Framingham,Average Daily Flow,Jun,5.88,2016
Framingham,Average Daily Flow,Jul,5.25,2016
Framingham,Average Daily Flow,Aug,5.32,2016
Framingham,Average Daily Flow,Sep,5.2,2016
Framingham,Average Daily Flow,Oct,5.76,2016
Framingham,Average Daily Flow,Nov,5.71,2016
Framingham,Average Daily Flow,Dec,6.04,2016
Framingham,Average Daily Flow,ANNUAL,6.71999979019165,2016
Framingham,Dry Day Average Daily Flow,Jan,7.94,2016
Framingham,Dry Day Average Daily Flow,Feb,8.23,2016
Framingham,Dry Day Average Daily Flow,Mar,8.5,2016
Framingham,Dry Day Average Daily Flow,Apr,8.42,2016
Framingham,Dry Day Average Daily Flow,May,6.71,2016
Framingham,Dry Day Average Daily Flow,Jun,5.66,2016
Framingham,Dry Day Average Daily Flow,Jul,5.23,2016
Framingham,Dry Day Average Daily Flow,Aug,5.24,2016
Framingham,Dry Day Average Daily Flow,Sep,5.06,2016
Framingham,Dry Day Average Daily Flow,Oct,5.41,2016
Framingham,Dry Day Average Daily Flow,Nov,5.62,2016
Framingham,Dry Day Average Daily Flow,Dec,5.84,2016
Framingham,Dry Day Average Daily Flow,ANNUAL,6.480000019073486,2016
Framingham,Estimated Infiltration,Jan,3.1400000000000006,2016
Framingham,Estimated Infiltration,Feb,3.4300000000000006,2016
Framingham,Estimated Infiltration,Mar,3.7,2016
Framingham,Estimated Infiltration,Apr,3.62,2016
Framingham,Estimated Infiltration,May,1.9100000000000001,2016
Framingham,Estimated Infiltration,Jun,0.8600000000000003,2016
Framingham,Estimated Infiltration,Jul,0.4300000000000006,2016
Framingham,Estimated Infiltration,Aug,0.4400000000000004,2016
Framingham,Estimated Infiltration,Sep,0.2599999999999998,2016
Framingham,Estimated Infiltration,Oct,0.6100000000000003,2016
Framingham,Estimated Infiltration,Nov,0.8200000000000003,2016
Framingham,Estimated Infiltration,Dec,1.04,2016
Framingham,Estimated Infiltration,ANNUAL,1.6799999475479126,2016
Framingham,Estimated Sanitary Flow,Jan,4.8,2016
Framingham,Estimated Sanitary Flow,Feb,4.8,2016
Framingham,Estimated Sanitary Flow,Mar,4.8,2016
Framingham,Estimated Sanitary Flow,Apr,4.8,2016
Framingham,Estimated Sanitary Flow,May,4.8,2016
Framingham,Estimated Sanitary Flow,Jun,4.8,2016
Framingham,Estimated Sanitary Flow,Jul,4.8,2016
Framingham,Estimated Sanitary Flow,Aug,4.8,2016
Framingham,Estimated Sanitary Flow,Sep,4.8,2016
Framingham,Estimated Sanitary Flow,Oct,4.8,2016
Framingham,Estimated Sanitary Flow,Nov,4.8,2016
Framingham,Estimated Sanitary Flow,Dec,4.8,2016
Framingham,Estimated Sanitary Flow,ANNUAL,4.800000190734863,2016
Framingham,Estimated Inflow,Jan,0.4500000000000002,2016
Framingham,Estimated Inflow,Feb,0.5299999999999994,2016
Framingham,Estimated Inflow,Mar,0.2599999999999998,2016
Framingham,Estimated Inflow,Apr,0.2699999999999996,2016
Framingham,Estimated Inflow,May,0.28000000000000025,2016
Framingham,Estimated Inflow,Jun,0.21999999999999975,2016
Framingham,Estimated Inflow,Jul,0.019999999999999574,2016
Framingham,Estimated Inflow,Aug,0.08000000000000007,2016
Framingham,Estimated Inflow,Sep,0.14000000000000057,2016
Framingham,Estimated Inflow,Oct,0.34999999999999964,2016
Framingham,Estimated Inflow,Nov,0.08999999999999986,2016
Framingham,Estimated Inflow,Dec,0.20000000000000018,2016
Framingham,Estimated Inflow,ANNUAL,0.23999999463558197,2016
Norwood,Raw Average Daily Flow,Jan,5.76,2016
Norwood,Raw Average Daily Flow,Feb,7.5,2016
Norwood,Raw Average Daily Flow,Mar,5.98,2016
Norwood,Raw Average Daily Flow,Apr,7.27,2016
Norwood,Raw Average Daily Flow,May,5.13,2016
Norwood,Raw Average Daily Flow,Jun,4.05,2016
Norwood,Raw Average Daily Flow,Jul,3.64,2016
Norwood,Raw Average Daily Flow,Aug,3.54,2016
Norwood,Raw Average Daily Flow,Sep,3.42,2016
Norwood,Raw Average Daily Flow,Oct,3.79,2016
Norwood,Raw Average Daily Flow,Nov,4.41,2016
Norwood,Raw Average Daily Flow,Dec,4.8,2016
Norwood,Raw Average Daily Flow,ANNUAL,4.929999828338623,2016
Norwood,Raw Dry Day Average Daily Flow,Jan,5.2,2016
Norwood,Raw Dry Day Average Daily Flow,Feb,6.43,2016
Norwood,Raw Dry Day Average Daily Flow,Mar,5.7,2016
Norwood,Raw Dry Day Average Daily Flow,Apr,6.4,2016
Norwood,Raw Dry Day Average Daily Flow,May,4.9,2016
Norwood,Raw Dry Day Average Daily Flow,Jun,3.8,2016
Norwood,Raw Dry Day Average Daily Flow,Jul,3.47,2016
Norwood,Raw Dry Day Average Daily Flow,Aug,3.46,2016
Norwood,Raw Dry Day Average Daily Flow,Sep,3.29,2016
Norwood,Raw Dry Day Average Daily Flow,Oct,3.74,2016
Norwood,Raw Dry Day Average Daily Flow,Nov,4.36,2016
Norwood,Raw Dry Day Average Daily Flow,Dec,4.64,2016
Norwood,Raw Dry Day Average Daily Flow,ANNUAL,4.610000133514404,2016
Norwood,Raw Estimated Infiltration,Jan,2.8000000000000003,2016
Norwood,Raw Estimated Infiltration,Feb,4.029999999999999,2016
Norwood,Raw Estimated Infiltration,Mar,3.3000000000000003,2016
Norwood,Raw Estimated Infiltration,Apr,4,2016
Norwood,Raw Estimated Infiltration,May,2.5000000000000004,2016
Norwood,Raw Estimated Infiltration,Jun,1.4,2016
Norwood,Raw Estimated Infiltration,Jul,1.0700000000000003,2016
Norwood,Raw Estimated Infiltration,Aug,1.06,2016
Norwood,Raw Estimated Infiltration,Sep,0.8900000000000001,2016
Norwood,Raw Estimated Infiltration,Oct,1.3400000000000003,2016
Norwood,Raw Estimated Infiltration,Nov,1.9600000000000004,2016
Norwood,Raw Estimated Infiltration,Dec,2.2399999999999998,2016
Norwood,Raw Estimated Infiltration,ANNUAL,2.2100000381469727,2016
Norwood,MWRA Estimated Infiltration,Jan,0.29,2016
Norwood,MWRA Estimated Infiltration,Feb,0.42,2016
Norwood,MWRA Estimated Infiltration,Mar,0.34,2016
Norwood,MWRA Estimated Infiltration,Apr,0.41,2016
Norwood,MWRA Estimated Infiltration,May,0.26,2016
Norwood,MWRA Estimated Infiltration,Jun,0.14,2016
Norwood,MWRA Estimated Infiltration,Jul,0.11,2016
Norwood,MWRA Estimated Infiltration,Aug,0.11,2016
Norwood,MWRA Estimated Infiltration,Sep,0.09,2016
Norwood,MWRA Estimated Infiltration,Oct,0.14,2016
Norwood,MWRA Estimated Infiltration,Nov,0.2,2016
Norwood,MWRA Estimated Infiltration,Dec,0.23,2016
Norwood,MWRA Estimated Infiltration,ANNUAL,0.23000000417232513,2016
Norwood,Final Average Daily Flow,Jan,5.47,2016
Norwood,Final Average Daily Flow,Feb,7.08,2016
Norwood,Final Average Daily Flow,Mar,5.640000000000001,2016
Norwood,Final Average Daily Flow,Apr,6.859999999999999,2016
Norwood,Final Average Daily Flow,May,4.87,2016
Norwood,Final Average Daily Flow,Jun,3.9099999999999997,2016
Norwood,Final Average Daily Flow,Jul,3.5300000000000002,2016
Norwood,Final Average Daily Flow,Aug,3.43,2016
Norwood,Final Average Daily Flow,Sep,3.33,2016
Norwood,Final Average Daily Flow,Oct,3.65,2016
Norwood,Final Average Daily Flow,Nov,4.21,2016
Norwood,Final Average Daily Flow,Dec,4.569999999999999,2016
Norwood,Final Average Daily Flow,ANNUAL,4.699999809265137,2016
Norwood,Final Dry Day Average Daily Flow,Jan,4.91,2016
Norwood,Final Dry Day Average Daily Flow,Feb,6.01,2016
Norwood,Final Dry Day Average Daily Flow,Mar,5.36,2016
Norwood,Final Dry Day Average Daily Flow,Apr,5.99,2016
Norwood,Final Dry Day Average Daily Flow,May,4.640000000000001,2016
Norwood,Final Dry Day Average Daily Flow,Jun,3.6599999999999997,2016
Norwood,Final Dry Day Average Daily Flow,Jul,3.3600000000000003,2016
Norwood,Final Dry Day Average Daily Flow,Aug,3.35,2016
Norwood,Final Dry Day Average Daily Flow,Sep,3.2,2016
Norwood,Final Dry Day Average Daily Flow,Oct,3.6,2016
Norwood,Final Dry Day Average Daily Flow,Nov,4.16,2016
Norwood,Final Dry Day Average Daily Flow,Dec,4.409999999999999,2016
Norwood,Final Dry Day Average Daily Flow,ANNUAL,4.380000114440918,2016
Norwood,Estimated Infiltration,Jan,2.5100000000000002,2016
Norwood,Estimated Infiltration,Feb,3.6099999999999994,2016
Norwood,Estimated Infiltration,Mar,2.9600000000000004,2016
Norwood,Estimated Infiltration,Apr,3.59,2016
Norwood,Estimated Infiltration,May,2.24,2016
Norwood,Estimated Infiltration,Jun,1.2599999999999998,2016
Norwood,Estimated Infiltration,Jul,0.9600000000000003,2016
Norwood,Estimated Infiltration,Aug,0.9500000000000001,2016
Norwood,Estimated Infiltration,Sep,0.8000000000000002,2016
Norwood,Estimated Infiltration,Oct,1.2000000000000002,2016
Norwood,Estimated Infiltration,Nov,1.7600000000000005,2016
Norwood,Estimated Infiltration,Dec,2.01,2016
Norwood,Estimated Infiltration,ANNUAL,1.9800000190734863,2016
